T_HEAT_LOW_C,AIRFLOW_PER_PERSON_M3H,T_HW_SUPPLY_MAX,T_STAIR_COLD_C,T_HW_EXT_HYST_C,T_BLOW_HEAT_C,E_total_kWh,E_heat_kWh,E_cool_kWh,E_fan_kWh,E_curtain_kWh,cost_eur,CO2_kg,T_comfort_pct,T_mild_pct,T_discomfort_pct,RH_comfort_pct,RH_mild_pct,RH_discomfort_pct,combined_comfort_pct,combined_mild_pct,combined_discomfort_pct,T_in_min,T_in_max
14.0,18.0,40.0,7.0,13.0,28.0,13085.185354309973,2829.2131553317045,1163.60596292955,4992.655228416594,4099.711007632125,2204.981742930585,348.04673795321816,43.060109289617486,50.30054644808744,6.639344262295081,57.513661202185794,19.23497267759563,23.251366120218577,25.10928961748634,46.27049180327869,28.620218579234972,12.011499808336229,30.184743663077256
14.0,18.0,40.0,7.0,13.0,30.0,13107.509245708416,2865.571461488605,1163.1966741882882,4979.030102399397,4099.711007632125,2207.1818584266825,348.3965636847856,43.10109289617486,50.560109289617486,6.33879781420765,57.25409836065574,19.453551912568308,23.292349726775956,25.095628415300546,46.53005464480874,28.374316939890708,11.98051301224137,30.19622837009018
14.0,18.0,40.0,7.0,13.0,32.0,13197.909716736407,2952.444345231543,1171.4999415542652,4974.254422318472,4099.711007632125,2225.4915160725895,351.9915849760479,43.114754098360656,50.778688524590166,6.10655737704918,57.3224043715847,19.41256830601093,23.26502732240437,25.095628415300546,46.76229508196722,28.142076502732237,11.891088819145095,30.231550434744918
14.0,18.0,40.0,7.0,15.0,28.0,13085.185354309973,2829.2131553317045,1163.60596292955,4992.655228416594,4099.711007632125,2204.981742930585,348.04673795321816,43.060109289617486,50.30054644808744,6.639344262295081,57.513661202185794,19.23497267759563,23.251366120218577,25.10928961748634,46.27049180327869,28.620218579234972,12.011499808336229,30.184743663077256
14.0,18.0,40.0,7.0,15.0,30.0,13107.509245708416,2865.571461488605,1163.1966741882882,4979.030102399397,4099.711007632125,2207.1818584266825,348.3965636847856,43.10109289617486,50.560109289617486,6.33879781420765,57.25409836065574,19.453551912568308,23.292349726775956,25.095628415300546,46.53005464480874,28.374316939890708,11.98051301224137,30.19622837009018
14.0,18.0,40.0,7.0,15.0,32.0,13197.909716736407,2952.444345231543,1171.4999415542652,4974.254422318472,4099.711007632125,2225.4915160725895,351.9915849760479,43.114754098360656,50.778688524590166,6.10655737704918,57.3224043715847,19.41256830601093,23.26502732240437,25.095628415300546,46.76229508196722,28.142076502732237,11.891088819145095,30.231550434744918
14.0,18.0,40.0,10.0,11.0,28.0,15701.728654824106,2004.0734627211607,1164.6257008302582,4994.937886482652,7538.091604790037,2658.9820237292024,410.2056647108162,45.79234972677595,48.169398907103826,6.038251366120219,59.6448087431694,19.23497267759563,21.120218579234972,27.39071038251366,46.69398907103825,25.91530054644809,11.977487094072911,30.187106343696623
14.0,18.0,40.0,10.0,11.0,30.0,15743.443323177853,2061.8493634266742,1163.5204960827582,4979.981858878384,7538.091604790037,2667.525411792589,411.7914635341732,45.80601092896175,48.333333333333336,5.860655737704918,59.74043715846995,19.18032786885246,21.079234972677597,27.36338797814208,46.95355191256831,25.683060109289617,12.066999391491086,30.199626893349716
14.0,18.0,40.0,10.0,11.0,32.0,15780.649558842537,2097.113329853938,1171.7385921253424,4973.706032073222,7538.091604790037,2675.1712730820886,413.48564434799385,45.69672131147541,48.63387978142077,5.669398907103825,59.63114754098361,19.34426229508197,21.024590163934427,27.25409836065574,47.30874316939891,25.437158469945352,12.07300502476077,30.207085203032996
14.0,18.0,40.0,10.0,13.0,28.0,15701.728654824106,2004.0734627211607,1164.6257008302582,4994.937886482652,7538.091604790037,2658.9820237292024,410.2056647108162,45.79234972677595,48.169398907103826,6.038251366120219,59.6448087431694,19.23497267759563,21.120218579234972,27.39071038251366,46.69398907103825,25.91530054644809,11.977487094072911,30.187106343696623
14.0,18.0,40.0,10.0,13.0,30.0,15743.443323177853,2061.8493634266742,1163.5204960827582,4979.981858878384,7538.091604790037,2667.525411792589,411.7914635341732,45.80601092896175,48.333333333333336,5.860655737704918,59.74043715846995,19.18032786885246,21.079234972677597,27.36338797814208,46.95355191256831,25.683060109289617,12.066999391491086,30.199626893349716
14.0,18.0,40.0,10.0,13.0,32.0,15780.649558842537,2097.113329853938,1171.7385921253424,4973.706032073222,7538.091604790037,2675.1712730820886,413.48564434799385,45.69672131147541,48.63387978142077,5.669398907103825,59.63114754098361,19.34426229508197,21.024590163934427,27.25409836065574,47.30874316939891,25.437158469945352,12.07300502476077,30.207085203032996
14.0,18.0,40.0,10.0,15.0,28.0,15701.728654824106,2004.0734627211607,1164.6257008302582,4994.937886482652,7538.091604790037,2658.9820237292024,410.2056647108162,45.79234972677595,48.169398907103826,6.038251366120219,59.6448087431694,19.23497267759563,21.120218579234972,27.39071038251366,46.69398907103825,25.91530054644809,11.977487094072911,30.187106343696623
14.0,18.0,40.0,10.0,15.0,30.0,15743.443323177853,2061.8493634266742,1163.5204960827582,4979.981858878384,7538.091604790037,2667.525411792589,411.7914635341732,45.80601092896175,48.333333333333336,5.860655737704918,59.74043715846995,19.18032786885246,21.079234972677597,27.36338797814208,46.95355191256831,25.683060109289617,12.066999391491086,30.199626893349716
14.0,18.0,40.0,10.0,15.0,32.0,15780.649558842537,2097.113329853938,1171.7385921253424,4973.706032073222,7538.091604790037,2675.1712730820886,413.48564434799385,45.69672131147541,48.63387978142077,5.669398907103825,59.63114754098361,19.34426229508197,21.024590163934427,27.25409836065574,47.30874316939891,25.437158469945352,12.07300502476077,30.207085203032996
